Classic Editor;https://ru.wordpress.org/plugins/classic-editor/;1092
Akismet Spam Protection;https://ru.wordpress.org/plugins/akismet/;954
Jetpack предназначен для защиты, резервного копирования, повышения скорости работы и развития вашего сайта WordPress;https://ru.wordpress.org/plugins/jetpack/;1829
Classic Widgets;https://ru.wordpress.org/plugins/classic-widgets/;225
